"","geo_id","total_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","employed_pop","unemployed_pop","associates_degree","bachelors_degree","high_school_diploma","masters_degree","median_income","income_less_10000","income_10000_14999","income_15000_19999","income_20000_24999","income_25000_29999","income_30000_34999","income_35000_39999","income_40000_44999","income_45000_49999","income_50000_59999","income_60000_74999","income_75000_99999","income_100000_124999","income_125000_149999","income_150000_199999","income_200000_or_more"
"1","48451",118386,63813,5217,991,46505,221,79,56349,2224,4749,12911,17130,4185,48696,2232,2285,2752,2862,2809,2711,3197,1377,1946,3519,5112,4253,3384,1773,1722,1563
"2","26037",77888,NA,NA,NA,NA,NA,NA,38291,1454,5267,10518,13219,4432,65730,1491,698,1016,740,1771,1493,864,1038,1204,2642,3302,4310,3115,1856,1558,1846
"3","22079",132424,NA,NA,NA,NA,NA,NA,55199,3797,4072,12264,25977,4137,42582,4307,3073,4247,2571,3280,2289,2758,1983,1994,3051,4696,5326,2860,1766,1695,1849
"4","29097",119111,NA,NA,NA,NA,NA,NA,55577,3859,5995,11452,22718,3581,45786,3644,2794,2304,2632,3126,2769,2958,2243,2268,4815,4385,6421,1868,1493,1103,907
"5","26087",88340,NA,NA,NA,NA,NA,NA,39137,3361,6834,7307,21153,3154,54309,1662,1645,1824,2213,2015,1378,1216,1703,1078,3259,4613,3793,2828,1498,1458,995
"6","47147",69165,NA,NA,NA,NA,NA,NA,34396,1582,3688,6148,14695,2825,60423,1416,749,712,1758,1440,1203,880,1179,1451,1732,3663,3548,1903,2068,802,798
"7","13013",77126,NA,NA,NA,NA,NA,NA,34622,1908,4129,5625,12373,2847,54256,1526,1255,661,1620,1227,1621,779,1607,1119,2561,2600,3795,2626,668,677,523
"8","05045",122227,NA,NA,NA,NA,NA,NA,54840,2042,4832,12759,17878,6525,48506,3927,2856,1988,1960,2870,2562,2717,1858,1581,4093,3971,6201,2841,1867,1548,1124
"9","19169",97090,NA,NA,NA,NA,NA,NA,54884,2667,4353,16276,8312,8015,53371,3964,1597,2545,2479,1622,846,1651,1444,1340,2662,3248,4152,3561,2892,1584,1763
"10","72113",145278,NA,NA,NA,NA,NA,NA,39864,5507,9650,21301,26037,4096,17454,18193,5739,4618,4211,2812,3340,2696,2103,1659,1952,2087,1482,695,125,378,357
"11","41019",108457,NA,NA,NA,NA,NA,NA,42013,3296,8174,7493,20188,4926,42889,2429,3104,4120,3256,2653,3294,1717,2238,1504,4068,5080,4381,2835,1346,783,1010
"12","42037",66420,NA,NA,NA,NA,NA,NA,31382,1541,3606,5973,15943,2752,49186,1866,1680,1250,1647,1269,1659,1680,1326,1111,2141,2858,2856,1909,1410,1084,785
"13","18043",76990,NA,NA,NA,NA,NA,NA,39307,1583,4315,9456,14117,4208,58586,1468,1651,1148,1724,1396,1774,1641,1292,917,2046,3835,3218,1991,1543,2195,1360
"14","28033",175611,NA,NA,NA,NA,NA,NA,85311,3792,12210,19022,27063,7489,64505,2276,3251,1862,2713,2852,2597,2627,3000,2226,5517,5727,10974,5846,4493,2599,2479
"15","42097",92541,NA,NA,NA,NA,NA,NA,43184,1716,5001,7897,30653,2923,47736,2409,1945,2830,2505,2305,2377,1703,1941,1831,3900,4109,4511,2280,1672,1230,550
"16","36113",64567,NA,NA,NA,NA,NA,NA,32829,1579,4053,8571,13582,4210,58061,1441,1672,1356,634,1806,1334,1656,1045,1609,2104,3151,3965,3166,1822,1280,800
"17","26155",68554,NA,NA,NA,NA,NA,NA,31010,1817,6618,5141,15864,2183,53244,1310,863,2005,1460,1625,1741,1750,1477,950,2914,3071,3932,2272,965,1207,529
"18","18057",316373,NA,NA,NA,NA,NA,NA,171061,3841,13543,76334,26943,30602,89823,2835,2123,3430,3068,2332,4117,3787,3459,4881,6759,12096,17498,15250,7851,14703,14332
"19","21185",65560,NA,NA,NA,NA,NA,NA,31831,915,3453,11044,6517,4566,90341,1031,82,195,829,1295,657,902,701,547,1232,1649,2720,3122,1857,1556,2805
"20","17179",134385,NA,NA,NA,NA,NA,NA,65241,3538,11061,16050,25535,5127,60152,2567,1636,1728,3126,2983,2522,2909,3174,2180,5098,7055,7998,5963,2547,2356,2209
"21","22019",200601,NA,NA,NA,NA,NA,NA,86410,6628,10250,16533,34835,7250,45962,8269,5519,5725,4207,3818,4009,3028,3197,4059,5571,5948,8938,5797,3114,3655,2175
"22","25011",70382,NA,NA,NA,NA,NA,NA,37931,1926,5366,9847,13397,6818,57106,1259,1579,1908,1839,1919,1663,1306,1343,916,2415,2830,4590,2515,1513,1670,1603
"23","55027",88068,NA,NA,NA,NA,NA,NA,45706,1610,7242,6963,22650,2456,55856,1432,1325,2154,1001,2041,2013,1529,2656,1443,3206,4700,5436,3042,1293,675,702
"24","37057",164926,NA,NA,NA,NA,NA,NA,74738,5383,10930,14282,31448,4405,45678,4486,2855,4563,4638,3433,3289,3976,3594,3385,5253,6766,6666,3092,3603,1719,1377
"25","29165",98309,NA,NA,NA,NA,NA,NA,53342,2018,5360,18738,12432,7587,77581,1036,730,848,1758,1261,2002,1429,1979,1237,1986,3617,7354,4377,1792,3789,2734
"26","42063",86364,NA,NA,NA,NA,NA,NA,36512,4092,5091,7167,22870,3711,42962,3094,2126,2652,2627,2085,1911,1617,2145,1178,2258,3770,3704,2592,1172,1179,676
"27","37023",88851,NA,NA,NA,NA,NA,NA,36946,3765,7113,7170,16098,2622,40345,2346,2982,3245,1861,3106,1938,1946,2388,2638,3027,3653,3035,1244,455,721,626
"28","48091",134788,NA,NA,NA,NA,NA,NA,63399,2654,8118,22721,20984,8636,77425,1637,1960,2042,1385,2105,776,2100,1560,1485,3511,4928,7284,5400,3085,4296,5050
"29","13021",152760,NA,NA,NA,NA,NA,NA,62032,3761,8608,14785,25543,7409,36724,8110,5573,2958,4341,3573,3144,2995,2367,2202,4399,4599,4842,3703,1600,1265,2021
"30","29043",84401,NA,NA,NA,NA,NA,NA,40431,2325,5227,10278,13270,3409,53172,1366,1083,1513,1420,1772,1762,2264,1421,1893,2873,3534,4391,2607,978,1201,842
"31","44009",126288,NA,NA,NA,NA,NA,NA,63177,5158,5975,22234,16530,12842,77813,3224,1755,1170,2080,1819,1789,2142,1492,1228,2819,5015,6785,6497,4524,3781,4248
"32","12019",208311,153464,18587,5746,20059,51,2200,96433,4789,16792,22770,38427,8561,56315,3141,2320,3374,3439,3348,4061,5130,3253,3291,8283,6207,10085,6599,5025,3568,3006
"33","48139",168499,104172,15815,1390,43587,146,167,82287,3069,8843,16249,24059,5722,70210,2338,2812,1464,1158,2171,2028,2427,1981,2057,4411,7295,8815,4744,4753,4048,3084
"34","28059",141241,NA,NA,NA,NA,NA,NA,63689,5957,9685,13619,23210,5634,54606,4289,3803,2779,2465,2168,2205,2077,2450,1469,4562,7064,6655,4486,2182,1187,1796
"35","22015",126057,NA,NA,NA,NA,NA,NA,52598,3056,6469,14166,20683,6427,48163,4356,1748,3226,2131,3176,2508,2193,2755,2570,3629,5236,5300,3126,1687,2537,1280
"36","47119",89981,NA,NA,NA,NA,NA,NA,40717,2212,6242,8433,17180,4019,50591,1649,1551,1910,2273,955,1535,1893,2092,2622,3726,3584,5059,1650,1025,1183,960
"37","39165",227063,NA,NA,NA,NA,NA,NA,111119,3644,12424,42308,34672,17925,80207,2920,1879,2378,2816,2124,2430,2921,4525,3276,6077,7949,11537,8519,6353,8010,8690
"38","01003",208563,NA,NA,NA,NA,NA,NA,90197,3360,15580,25524,35760,12717,56732,4574,4559,3420,3883,2943,3809,3770,4499,2617,6137,7428,10124,7969,4081,3414,3552
"39","13297",90184,NA,NA,NA,NA,NA,NA,40475,3059,4621,8975,15650,3127,53202,1676,1662,1133,1564,1783,1247,754,2313,1708,3327,3511,4168,2141,1020,1438,1270
"40","01081",158991,NA,NA,NA,NA,NA,NA,75028,4625,7544,18716,15745,10336,48056,6579,3386,3637,3012,2232,2499,3186,2775,3682,5081,6307,5194,5144,2160,2720,1760
"41","39173",130219,115250,3737,1938,7145,379,97,70839,2843,8323,15546,20585,9231,60166,2835,2031,2453,2557,1751,3043,2100,2084,1828,4335,5654,6047,5304,2484,3331,2338
"42","12053",182835,143624,8270,2262,22624,210,1355,66429,4945,13414,17295,41071,6248,47253,5166,4712,4078,4454,4204,4430,4176,4017,3358,7469,7516,9008,5163,3350,2048,1113
"43","56021",98136,NA,NA,NA,NA,NA,NA,46134,3558,9986,11710,13213,4768,62221,1735,1701,1483,1661,1914,1043,1614,1752,1154,4019,5233,5301,4368,2208,2170,825
"44","21151",89547,NA,NA,NA,NA,NA,NA,40724,2819,5325,9414,11383,4307,43840,3227,2374,3081,1977,1726,1389,1878,1602,1501,2563,3034,3735,2465,1715,875,491
"45","36069",109828,NA,NA,NA,NA,NA,NA,54386,1648,10329,14333,18845,9460,57448,1731,1608,1561,2653,1959,2255,2124,3538,2139,3833,4516,5665,4007,2969,2540,2089
"46","37071",216965,159129,33988,3627,14690,1004,289,100168,7542,15160,22728,33574,7158,48711,5932,4410,4956,4936,4544,5904,3128,4659,4046,6978,8998,11103,4820,3111,3263,2194
"47","36045",114006,93531,5451,1939,8166,1485,147,44689,3201,8393,8710,23091,4653,45624,3493,1893,2183,2633,2548,2795,2409,2482,1826,2385,3616,5717,3757,1615,1232,831
"48","10001",174827,109098,42482,3070,12050,940,14,77379,6756,10348,16475,36420,7570,54140,3775,2625,3344,2986,3260,4573,3739,2222,3419,5496,8495,8790,5193,3175,1419,1941
"49","37191",124150,NA,NA,NA,NA,NA,NA,48016,5147,11398,9658,21194,3632,41711,4100,4685,3131,3409,2941,2846,1833,1975,2272,3049,4379,5215,2971,1983,1110,1341
"50","51061",69069,NA,NA,NA,NA,NA,NA,36185,1106,4178,10543,9636,4300,94347,769,489,867,318,809,799,1213,392,481,1442,2216,3142,2447,2030,3503,3860
"51","39025",203022,NA,NA,NA,NA,NA,NA,102650,4102,12341,24922,37356,11270,60661,4452,3715,2739,2535,4004,2892,4207,4156,2957,6801,8039,10600,7386,4756,4709,3977
"52","40037",71312,NA,NA,NA,NA,NA,NA,28779,1343,3459,5809,17541,1661,43609,2011,1609,1960,1318,1979,1689,1377,1132,806,1981,2858,3076,1740,810,798,514
"53","51069",84421,NA,NA,NA,NA,NA,NA,43192,2432,5814,9427,16051,5838,69827,587,649,855,922,964,898,783,1695,900,3393,4578,4361,3452,3004,2396,1323
"54","22103",253602,NA,NA,NA,NA,NA,NA,119204,7490,11184,35138,37415,11550,64639,4553,4082,4854,3357,3826,4376,4154,3583,3730,6431,10090,12561,8117,5678,6934,5879
"55","01117",210622,NA,NA,NA,NA,NA,NA,104293,4196,10706,39842,24010,15533,73647,2612,3188,2597,3066,2652,2662,2848,2918,2323,5232,8811,12835,8140,5884,4989,5302
"56","37085",130881,81056,26994,916,16290,522,546,53524,3721,10117,11089,21515,4376,51637,3284,2701,1721,2351,2552,2260,1730,2700,1698,3854,5354,6078,3804,1993,1219,661
"57","22109",113220,NA,NA,NA,NA,NA,NA,47535,3188,3885,8268,24200,1444,46026,3061,2893,2334,2600,2361,2037,1926,2567,1072,2789,4554,4902,3055,1419,1530,1002
"58","47189",132781,NA,NA,NA,NA,NA,NA,65379,2040,8176,17973,19812,6086,71153,2195,1060,1167,1817,2121,2048,1851,1843,2186,3848,5542,6696,5738,3164,3995,2436
"59","26005",115548,102399,1445,417,8390,270,71,56390,1659,7627,11120,26170,4954,57846,1656,1403,1670,1710,1614,2483,2272,2033,2653,4261,5520,6443,3895,1592,1568,1222
"60","42025",63594,NA,NA,NA,NA,NA,NA,29608,1876,4553,5329,19643,1997,51676,1090,1722,1287,1329,1570,1787,1759,771,1373,1701,3624,3324,1838,1303,1000,508
"61","22097",83883,NA,NA,NA,NA,NA,NA,30534,1315,2642,5334,20565,1735,31207,5378,2096,2897,2118,1971,2114,1153,966,1131,1872,2304,2103,2393,713,660,433
"62","12017",143621,NA,NA,NA,NA,NA,NA,44862,5724,10726,14806,33903,6245,39206,5933,4457,4040,4620,5597,4777,2676,3717,3474,6215,6426,4247,4049,1406,1296,651
"63","42085",112913,NA,NA,NA,NA,NA,NA,50739,2805,7384,10153,30500,5543,49890,2604,1818,2678,3425,2883,1882,2500,2822,2251,4335,4630,6076,3633,1536,1422,1135
"64","48187",155265,79033,10631,2827,58385,117,382,71823,2485,9179,18087,27890,8142,68157,2315,1400,1238,1482,1323,1691,2443,2524,2791,5060,6810,6760,6307,3720,3296,2775
"65","25003",126903,NA,NA,NA,NA,NA,NA,64464,4440,8348,17357,25269,10181,58418,2716,2946,2615,2475,2892,2384,2664,2766,2276,3923,5712,7326,4715,3489,2683,2622
"66","37151",143416,NA,NA,NA,NA,NA,NA,65701,3246,8751,11720,23933,3749,44836,4118,2948,3188,4254,4013,3369,3490,3105,1868,6476,5258,7339,3128,1999,1859,381
"67","24015",102603,NA,NA,NA,NA,NA,NA,52428,2738,4470,10125,21986,5102,74221,1583,233,1536,1370,1439,1589,1880,1708,1473,2483,3571,5481,4864,2550,3445,2091
"68","26073",71282,NA,NA,NA,NA,NA,NA,34201,2495,3737,6404,9974,3301,41868,2854,2131,1153,1704,790,1128,1698,1175,1451,1998,2306,2249,1147,680,861,595
"69","41059",76456,50761,573,218,20167,1520,0,32027,3536,4667,4068,10115,3118,50171,1883,1556,1640,1098,1674,1170,993,1298,1600,1820,4359,2887,1576,1215,629,502
"70","37025",201590,135064,33607,6212,20389,511,629,99250,6762,13266,26973,25419,11173,63386,2996,2492,3210,2321,3776,3796,2451,2769,3191,6435,8373,9885,6782,3100,5145,3716
"71","49053",160245,135909,537,1461,16192,1822,222,65152,4138,13758,17837,19444,6844,55056,1997,2185,2860,2599,1854,2727,3262,3132,2345,5327,5706,7182,4154,1344,2609,2491
"72","39089",172198,NA,NA,NA,NA,NA,NA,83809,3797,12088,19275,35860,6827,58685,3952,2962,2950,3054,2111,3076,2723,2874,2865,5865,6314,9010,5935,3223,3283,2701
"73","37109",81168,NA,NA,NA,NA,NA,NA,37628,2910,5219,8530,14990,2812,49453,2083,1202,1651,1677,2036,1614,1870,1799,2131,2339,3599,2998,2472,1748,960,1409
"74","01055",102564,NA,NA,NA,NA,NA,NA,40918,2799,5453,6883,19348,3283,41152,3658,2453,2625,2693,2635,2207,2536,2012,1344,3096,4198,4063,2161,1092,909,1084
"75","30013",81755,NA,NA,NA,NA,NA,NA,35768,2307,6130,9439,14172,2930,45138,2558,1761,2499,1969,2415,1931,1722,1977,1768,2438,3959,3663,2313,892,979,915
"76","24009",91251,NA,NA,NA,NA,NA,NA,45016,3522,4179,8770,16904,7702,98732,491,394,491,431,844,954,725,1421,946,1949,2662,4945,4284,4746,3290,3861
"77","55097",70447,NA,NA,NA,NA,NA,NA,37756,1417,5098,10219,12985,2635,53655,1748,1071,1303,1830,936,1210,1353,1187,1931,3250,2839,3707,2078,1661,1036,869
"78","42001",102180,NA,NA,NA,NA,NA,NA,49779,3220,6222,8730,25433,5095,59300,1324,1779,1810,1037,2710,2163,1972,1702,2143,2621,3747,6211,3829,2094,1760,1223
"79","44005",82784,NA,NA,NA,NA,NA,NA,38951,2608,4610,16982,10927,7465,73596,1327,1294,1443,898,1907,1155,1007,1721,1688,1780,3757,5565,3316,2645,2876,2699
"80","55109",88029,NA,NA,NA,NA,NA,NA,49153,1137,9298,15090,12089,4418,72865,962,1098,981,1680,1331,868,815,1389,1828,2585,3532,4935,4465,2215,2475,2301
"81","05125",118703,NA,NA,NA,NA,NA,NA,58423,2210,6650,15128,22076,6322,64932,1467,2091,1550,1779,1378,2384,1688,1750,1652,3770,5536,7187,4765,3034,1752,1588
"82","51165",79744,NA,NA,NA,NA,NA,NA,38154,1746,3495,8474,15783,4437,57755,1314,1215,1305,1034,1341,2207,2136,1844,1710,2164,3320,4734,2564,1944,1088,1266
"83","26045",109160,90710,5844,2049,5706,450,315,52697,3192,8761,13333,17946,4658,56211,2677,1609,2119,1657,1716,2664,1974,2640,2293,4279,5836,5931,4006,2576,1656,1033
"84","21093",107316,81733,12583,1851,5767,175,307,48870,3693,10390,9204,16257,6144,52148,3179,1936,2191,2020,1529,1710,2046,2520,1422,3645,4746,4892,2785,1887,2030,1146
"85","36009",77677,70461,1148,509,1581,2392,15,34192,2004,6826,5066,16994,4070,46842,2469,2235,1675,1751,1592,1724,1748,2106,1273,2799,3471,3488,2990,1031,694,363
"86","22073",156983,NA,NA,NA,NA,NA,NA,62517,4760,5051,13235,30937,6037,37275,7153,4082,3743,4169,3141,3304,3326,3060,2821,2982,3684,4734,2985,2367,1765,1033
"87","18035",115603,NA,NA,NA,NA,NA,NA,51009,4381,6082,8844,21718,4861,41041,5301,3065,2298,4646,2517,2497,2551,2105,1770,3975,5029,4935,2459,1848,499,1225
"88","39109",104679,NA,NA,NA,NA,NA,NA,50991,2289,7404,8946,23988,5509,60170,1655,1862,2151,1691,1815,2115,1934,1119,2940,3312,5943,5733,3753,2164,2178,948
"89","08014",66529,NA,NA,NA,NA,NA,NA,35693,1650,NA,NA,NA,NA,84349,1436,529,374,1402,570,1195,836,765,529,1365,2629,3917,3057,1579,2076,4010
"90","27013",66441,NA,NA,NA,NA,NA,NA,37094,2630,4504,8227,9838,2969,53869,1642,1419,984,1151,1222,1210,1453,1622,1156,2111,2433,3496,2685,1169,897,1037
"91","13139",196637,NA,NA,NA,NA,NA,NA,91777,2556,10127,16839,29828,7147,54917,3148,2188,2698,3330,3843,3518,2684,3486,3160,5696,6828,8349,6407,2359,2601,1743
"92","27131",65622,NA,NA,NA,NA,NA,NA,34543,1116,5491,6399,10293,3868,69135,1039,940,1034,1139,595,857,925,862,519,1634,2762,3863,2631,1402,1444,1249
"93","48375",120832,54181,11951,5672,45824,147,0,50787,1673,5173,7601,17380,2231,42305,3803,2608,3441,1618,3088,2974,2169,1823,1565,4123,5344,3530,2391,1276,1259,1167
"94","31153",179023,145645,6181,4776,16056,378,276,94516,2916,10682,29732,23199,12196,73569,2172,1113,1902,1874,2038,3362,2242,2906,2635,4591,8221,9273,9433,4016,5783,3302
"95","53025",93546,NA,NA,NA,NA,NA,NA,37561,3779,3784,6566,11754,2900,48335,2262,945,1982,1350,2258,1215,1274,1302,2223,2713,2671,3352,1932,1141,1149,582
"96","40119",81131,NA,NA,NA,NA,NA,NA,36600,1574,3138,8139,9243,4087,35927,5677,3120,1720,1235,1858,1513,997,1515,845,1559,2230,3117,2184,1229,784,1074
"97","01077",92318,NA,NA,NA,NA,NA,NA,38940,3064,4515,9044,18735,3698,43427,3262,2387,2075,2591,3059,1246,1989,2881,1694,2226,3529,5421,2076,1375,1436,628
"98","51019",77960,NA,NA,NA,NA,NA,NA,37240,1550,4985,9692,14098,5184,56479,1713,1614,1506,1179,1125,1496,1359,1190,1724,2603,2370,3594,3178,1851,1603,1461
"99","34041",106617,NA,NA,NA,NA,NA,NA,56368,3689,5746,16147,20351,6097,74867,1331,785,1034,2454,1491,1930,1309,1025,1402,3397,4142,4367,6451,2421,3434,3539
"100","55141",73107,NA,NA,NA,NA,NA,NA,37953,1363,6842,6588,17615,2915,51887,1813,1546,1351,2162,1454,2560,2030,1321,1238,2800,3954,3952,3067,1275,1136,1090
"101","42033",80596,NA,NA,NA,NA,NA,NA,33473,2910,5551,5199,25437,1947,47352,1504,2616,1531,1939,1596,1941,1288,1297,1249,3107,3662,3461,2082,662,454,672
"102","26055",92084,NA,NA,NA,NA,NA,NA,45606,1856,7083,12500,14468,6411,58532,1677,1291,1850,2746,1389,1625,1959,1565,1886,2961,3896,5657,3565,1483,1382,2320
"103","37035",156459,NA,NA,NA,NA,NA,NA,72909,5581,12792,15663,27681,5379,48913,3479,3195,4229,2687,2250,4330,4277,4242,2772,5042,5892,8629,5069,1810,1877,1838
"104","01043",82471,NA,NA,NA,NA,NA,NA,32765,1602,5733,6575,14343,2595,39411,2924,1556,1977,2354,2219,1545,2826,1266,1371,2426,3010,2466,2162,723,940,534
"105","45041",138742,NA,NA,NA,NA,NA,NA,60610,3951,8932,13665,25438,5536,46524,4868,3120,3114,3110,2042,2734,2445,3168,2322,3685,5237,5691,4001,1742,1471,1443
"106","48213",79901,NA,NA,NA,NA,NA,NA,31834,1457,2926,6339,14544,3482,44088,2099,1554,2290,1596,2488,2432,1180,1796,1435,1859,2809,4228,1839,1355,620,823
"107","13113",111627,NA,NA,NA,NA,NA,NA,54138,2638,5744,22544,13903,9895,80626,1023,740,1141,1010,1288,1118,621,1415,1805,3817,4330,5967,3848,3084,3854,4985
"108","01115",88019,NA,NA,NA,NA,NA,NA,39603,2081,4747,7463,18141,2609,60158,2014,1346,1413,1264,1178,2106,1180,1198,1424,2603,3947,5632,3525,1142,1291,352
"109","13115",96560,NA,NA,NA,NA,NA,NA,42953,2876,4725,8780,14858,4292,49865,2533,1824,1392,2101,2480,2262,2247,1488,1409,3286,4406,4413,2746,709,1243,872
"110","37019",126953,NA,NA,NA,NA,NA,NA,45894,4192,11569,17306,23302,7605,50692,5489,3345,2326,3177,2583,2600,2979,2447,1783,4939,6507,6248,4600,2125,1847,1336
"111","19013",132904,NA,NA,NA,NA,NA,NA,71199,3453,8280,15443,22420,5635,50470,4349,1929,2778,3452,2992,3475,2279,2801,1923,4422,5539,6939,3740,2607,1395,1859
"112","55055",84625,NA,NA,NA,NA,NA,NA,45372,1173,6824,9615,16494,3447,58703,1734,1441,888,1466,1257,3077,1874,1374,1269,1906,3991,5376,2917,1734,1521,553
"113","45077",122863,NA,NA,NA,NA,NA,NA,54895,3980,8112,13288,16337,5358,45779,3472,3000,3017,2832,2826,2428,2696,2869,2344,3953,4072,4996,3575,1795,2005,1423
"114","22063",140138,NA,NA,NA,NA,NA,NA,60620,3347,6614,10426,30184,3487,56534,2279,1995,2986,1658,2364,1969,2433,2410,2281,4196,4731,5540,4556,3483,2861,1737
"115","48469",92467,NA,NA,NA,NA,NA,NA,44600,2704,4418,7895,16400,2783,53778,2177,1780,1616,1204,1652,1272,1559,2253,1717,2278,2672,3506,3041,2622,1118,1782
"116","23003",67959,NA,NA,NA,NA,NA,NA,29285,993,5142,7137,15865,2035,39450,2341,2027,2444,2367,1396,1536,1829,1327,1331,2231,2172,2749,1486,1049,866,363
