"","GEO_TTL","GEO_ID","state","county"
"1","Autauga County, Alabama","0500000US01001","01","001"
"2","Baldwin County, Alabama","0500000US01003","01","003"
"3","Barbour County, Alabama","0500000US01005","01","005"
"4","Bibb County, Alabama","0500000US01007","01","007"
"5","Blount County, Alabama","0500000US01009","01","009"
"6","Bullock County, Alabama","0500000US01011","01","011"
"7","Butler County, Alabama","0500000US01013","01","013"
"8","Calhoun County, Alabama","0500000US01015","01","015"
"9","Chambers County, Alabama","0500000US01017","01","017"
"10","Cherokee County, Alabama","0500000US01019","01","019"
"11","Chilton County, Alabama","0500000US01021","01","021"
"12","Choctaw County, Alabama","0500000US01023","01","023"
"13","Clarke County, Alabama","0500000US01025","01","025"
"14","Clay County, Alabama","0500000US01027","01","027"
"15","Cleburne County, Alabama","0500000US01029","01","029"
"16","Coffee County, Alabama","0500000US01031","01","031"
"17","Colbert County, Alabama","0500000US01033","01","033"
"18","Conecuh County, Alabama","0500000US01035","01","035"
"19","Coosa County, Alabama","0500000US01037","01","037"
"20","Covington County, Alabama","0500000US01039","01","039"
"21","Crenshaw County, Alabama","0500000US01041","01","041"
"22","Cullman County, Alabama","0500000US01043","01","043"
"23","Dale County, Alabama","0500000US01045","01","045"
"24","Dallas County, Alabama","0500000US01047","01","047"
"25","DeKalb County, Alabama","0500000US01049","01","049"
"26","Elmore County, Alabama","0500000US01051","01","051"
"27","Escambia County, Alabama","0500000US01053","01","053"
"28","Etowah County, Alabama","0500000US01055","01","055"
"29","Fayette County, Alabama","0500000US01057","01","057"
"30","Franklin County, Alabama","0500000US01059","01","059"
"31","Geneva County, Alabama","0500000US01061","01","061"
"32","Greene County, Alabama","0500000US01063","01","063"
"33","Hale County, Alabama","0500000US01065","01","065"
"34","Henry County, Alabama","0500000US01067","01","067"
"35","Houston County, Alabama","0500000US01069","01","069"
"36","Jackson County, Alabama","0500000US01071","01","071"
"37","Jefferson County, Alabama","0500000US01073","01","073"
"38","Lamar County, Alabama","0500000US01075","01","075"
"39","Lauderdale County, Alabama","0500000US01077","01","077"
"40","Lawrence County, Alabama","0500000US01079","01","079"
"41","Lee County, Alabama","0500000US01081","01","081"
"42","Limestone County, Alabama","0500000US01083","01","083"
"43","Lowndes County, Alabama","0500000US01085","01","085"
"44","Macon County, Alabama","0500000US01087","01","087"
"45","Madison County, Alabama","0500000US01089","01","089"
"46","Marengo County, Alabama","0500000US01091","01","091"
"47","Marion County, Alabama","0500000US01093","01","093"
"48","Marshall County, Alabama","0500000US01095","01","095"
"49","Mobile County, Alabama","0500000US01097","01","097"
"50","Monroe County, Alabama","0500000US01099","01","099"
"51","Montgomery County, Alabama","0500000US01101","01","101"
"52","Morgan County, Alabama","0500000US01103","01","103"
"53","Perry County, Alabama","0500000US01105","01","105"
"54","Pickens County, Alabama","0500000US01107","01","107"
"55","Pike County, Alabama","0500000US01109","01","109"
"56","Randolph County, Alabama","0500000US01111","01","111"
"57","Russell County, Alabama","0500000US01113","01","113"
"58","St. Clair County, Alabama","0500000US01115","01","115"
"59","Shelby County, Alabama","0500000US01117","01","117"
"60","Sumter County, Alabama","0500000US01119","01","119"
"61","Talladega County, Alabama","0500000US01121","01","121"
"62","Tallapoosa County, Alabama","0500000US01123","01","123"
"63","Tuscaloosa County, Alabama","0500000US01125","01","125"
"64","Walker County, Alabama","0500000US01127","01","127"
"65","Washington County, Alabama","0500000US01129","01","129"
"66","Wilcox County, Alabama","0500000US01131","01","131"
"67","Winston County, Alabama","0500000US01133","01","133"
"68","Aleutians East Borough, Alaska","0500000US02013","02","013"
"69","Aleutians West Census Area, Alaska","0500000US02016","02","016"
"70","Anchorage Municipality, Alaska","0500000US02020","02","020"
"71","Bethel Census Area, Alaska","0500000US02050","02","050"
"72","Bristol Bay Borough, Alaska","0500000US02060","02","060"
"73","Denali Borough, Alaska","0500000US02068","02","068"
"74","Dillingham Census Area, Alaska","0500000US02070","02","070"
"75","Fairbanks North Star Borough, Alaska","0500000US02090","02","090"
"76","Haines Borough, Alaska","0500000US02100","02","100"
"77","Hoonah-Angoon Census Area, Alaska","0500000US02105","02","105"
"78","Juneau City and Borough, Alaska","0500000US02110","02","110"
"79","Kenai Peninsula Borough, Alaska","0500000US02122","02","122"
"80","Ketchikan Gateway Borough, Alaska","0500000US02130","02","130"
"81","Kodiak Island Borough, Alaska","0500000US02150","02","150"
"82","Lake and Peninsula Borough, Alaska","0500000US02164","02","164"
"83","Matanuska-Susitna Borough, Alaska","0500000US02170","02","170"
"84","Nome Census Area, Alaska","0500000US02180","02","180"
"85","North Slope Borough, Alaska","0500000US02185","02","185"
"86","Northwest Arctic Borough, Alaska","0500000US02188","02","188"
"87","Petersburg Census Area, Alaska","0500000US02195","02","195"
"88","Prince of Wales-Hyder Census Area, Alaska","0500000US02198","02","198"
"89","Sitka City and Borough, Alaska","0500000US02220","02","220"
"90","Skagway Municipality, Alaska","0500000US02230","02","230"
"91","Southeast Fairbanks Census Area, Alaska","0500000US02240","02","240"
"92","Valdez-Cordova Census Area, Alaska","0500000US02261","02","261"
"93","Wade Hampton Census Area, Alaska","0500000US02270","02","270"
"94","Wrangell City and Borough, Alaska","0500000US02275","02","275"
"95","Yakutat City and Borough, Alaska","0500000US02282","02","282"
"96","Yukon-Koyukuk Census Area, Alaska","0500000US02290","02","290"
"97","Apache County, Arizona","0500000US04001","04","001"
"98","Cochise County, Arizona","0500000US04003","04","003"
"99","Coconino County, Arizona","0500000US04005","04","005"
"100","Gila County, Arizona","0500000US04007","04","007"
"101","Graham County, Arizona","0500000US04009","04","009"
"102","Greenlee County, Arizona","0500000US04011","04","011"
"103","La Paz County, Arizona","0500000US04012","04","012"
"104","Maricopa County, Arizona","0500000US04013","04","013"
"105","Mohave County, Arizona","0500000US04015","04","015"
"106","Navajo County, Arizona","0500000US04017","04","017"
"107","Pima County, Arizona","0500000US04019","04","019"
"108","Pinal County, Arizona","0500000US04021","04","021"
"109","Santa Cruz County, Arizona","0500000US04023","04","023"
"110","Yavapai County, Arizona","0500000US04025","04","025"
"111","Yuma County, Arizona","0500000US04027","04","027"
"112","Arkansas County, Arkansas","0500000US05001","05","001"
"113","Ashley County, Arkansas","0500000US05003","05","003"
"114","Baxter County, Arkansas","0500000US05005","05","005"
"115","Benton County, Arkansas","0500000US05007","05","007"
"116","Boone County, Arkansas","0500000US05009","05","009"
"117","Bradley County, Arkansas","0500000US05011","05","011"
"118","Calhoun County, Arkansas","0500000US05013","05","013"
"119","Carroll County, Arkansas","0500000US05015","05","015"
"120","Chicot County, Arkansas","0500000US05017","05","017"
"121","Clark County, Arkansas","0500000US05019","05","019"
"122","Clay County, Arkansas","0500000US05021","05","021"
"123","Cleburne County, Arkansas","0500000US05023","05","023"
"124","Cleveland County, Arkansas","0500000US05025","05","025"
"125","Columbia County, Arkansas","0500000US05027","05","027"
