"","X1","committee_name","contributor_occupation","college"
"1",1,"END CITIZENS UNITED","COLLEGE PROFESSOR","SUNYGeneseo"
"2",2,"HARLEY ROUDA FOR CONGRESS","PROFESSOR","CornellU"
"3",3,"HARLEY ROUDA FOR CONGRESS","PROFESSOR","CornellU"
"4",4,"HARLEY ROUDA FOR CONGRESS","PROFESSOR","CornellU"
"5",5,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"6",6,"FRIENDS OF DANA BALTER","PROFESSOR","HamiltonC"
"7",7,"FRIENDS OF DANA BALTER","ASSOCIATE DEAN FOR FINANCE","CornellU"
"8",8,"FRIENDS OF DANA BALTER","IT MANAGEMENT","CornellU"
"9",9,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"10",10,"ACTBLUE","ADMINISTRATIVE ASSISTANT","MolloyC"
"11",11,"ACTBLUE","PROFESSOR","CornellU"
"12",12,"ACTBLUE","STUDENT","CornellU"
"13",13,"ACTBLUE","PSYCHOLOGIST","CornellU"
"14",14,"ACTBLUE","PROFESSOR","HamiltonC"
"15",15,"ACTBLUE","ACADEMIC","CornellU"
"16",16,"ACTBLUE","STUDENT","CornellU"
"17",17,"ACTBLUE","PHD STUDENT (TEACHING ASSISTANT)","CornellU"
"18",18,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"19",19,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"20",20,"ACTBLUE","POSTDOCTORAL RESEARCH ASSOCIATE","CornellU"
"21",21,"FRIENDS OF DANA BALTER","IT MANAGEMENT","CornellU"
"22",22,"FRIENDS OF DANA BALTER","IT MANAGEMENT","CornellU"
"23",23,"FRIENDS OF DANA BALTER","IT MANAGEMENT","CornellU"
"24",24,"HOUSE MAJORITY PAC","WRITER/PROFESSOR","CornellU"
"25",25,"ACTBLUE","PHYSICIST","CornellU"
"26",26,"FRIENDS OF DANA BALTER","ASSOCIATE PROFESSOR","CornellU"
"27",27,"ACTBLUE","ADMIN ASST","CornellU"
"28",28,"ACTBLUE","STUDENT","CornellU"
"29",29,"ACTBLUE","ACADEMIC","CornellU"
"30",30,"ACTBLUE","LIBRARIAN","CornellU"
"31",31,"ACTBLUE","PROFESSOR","CornellU"
"32",32,"ACTBLUE","PROFESSOR","CornellU"
"33",33,"ACTBLUE","POSTDOCTORAL ASSOCIATE","CornellU"
"34",34,"ACTBLUE","LIBRARIAN","CornellU"
"35",35,"DNC SERVICES CORP./DEM. NAT'L COMMITTEE","ASSOCIATE PROFESSOR","CornellU"
"36",36,"ACTBLUE","DATA ARCHIVE ASSISTANT","CornellU"
"37",37,"ACTBLUE","ADMINISTRATION","CornellU"
"38",38,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"39",39,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"40",40,"ACTBLUE","PROFESSOR","CornellU"
"41",41,"JANET GARRETT FOR CONGRESS COMMITTEE","PROFESSOR","CornellU"
"42",42,"ACTBLUE","PROFESSOR","CornellU"
"43",43,"ACTBLUE","PROFESSOR","CornellU"
"44",44,"ACTBLUE","MATHEMATICIAN","CornellU"
"45",45,"ACTBLUE","EDUCATOR","CornellU"
"46",46,"ACTBLUE","EDUCATOR","CornellU"
"47",47,"ACTBLUE","PROFESSOR","HamiltonC"
"48",48,"ACTBLUE","GRADUATE STUDENT","RPI"
"49",49,"ACTBLUE","RESEARCH SUPPORT SPECIALIST","CornellU"
"50",50,"ACTBLUE","PROFESSOR","AdelphiU"
"51",51,"HOUSE MAJORITY PAC","WRITER/PROFESSOR","CornellU"
"52",52,"ACTBLUE","PROFESSOR","CornellU"
"53",53,"ACTBLUE","PROFESSOR","CornellU"
"54",54,"ACTBLUE","COLLEGE PROFESSOR","SUNYGeneseo"
"55",55,"ACTBLUE","ADMIN ASSISTANT","CornellU"
"56",56,"FRIENDS OF DANA BALTER","PROFESSOR","HamiltonC"
"57",57,"FRIENDS OF DANA BALTER","DIRECTOR","HamiltonC"
"58",58,"FRIENDS OF DANA BALTER","FACULTY MEMBER","CornellU"
"59",59,"FRIENDS OF DANA BALTER","IT MANAGEMENT","CornellU"
"60",60,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"61",61,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"62",62,"FRIENDS OF DANA BALTER","PROFESSOR","CornellU"
"63",63,"ACTBLUE","LIBRARIAN","CornellU"
"64",64,"ACTBLUE","DEVELOPMENT OFFICER","CornellU"
"65",65,"ACTBLUE","OPERATIONS SPECIALIST","RPI"
"66",66,"ACTBLUE","COLLEGE PROFESSOR","AdelphiU"
"67",67,"ACTBLUE","EDUCATOR","AdelphiU"
"68",68,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"69",69,"ACTBLUE","PHYSICIAN","CornellU"
"70",70,"ACTBLUE","PROFESSOR","CornellU"
"71",71,"ACTBLUE","EDUCATOR","CornellU"
"72",72,"ACTBLUE","EDUCATOR","CornellU"
"73",73,"ACTBLUE","EDUCATOR","CornellU"
"74",74,"ACTBLUE","EDUCATOR","CornellU"
