"","X1","committee_name","contributor_occupation","college"
"1",1,"PROGRESSIVE TURNOUT PROJECT","CANCER GENETICS RESEARCH","OhioStateU"
"2",2,"PROGRESSIVE TURNOUT PROJECT","CANCER GENETICS RESEARCH","OhioStateU"
"3",3,"PROGRESSIVE TURNOUT PROJECT","CANCER GENETICS RESEARCH","OhioStateU"
"4",4,"PROGRESSIVE TURNOUT PROJECT","CANCER GENETICS RESEARCH","OhioStateU"
"5",5,"PROGRESSIVE TURNOUT PROJECT","CANCER GENETICS RESEARCH","OhioStateU"
"6",6,"ACTBLUE","RETIRED TEACHER","OhioStateU"
"7",7,"JANET GARRETT FOR CONGRESS COMMITTEE","PROFESSOR","OberlinC"
"8",8,"ACTBLUE","GRADUATE STUDENT","BowlingGreenU"
"9",9,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"10",10,"ACTBLUE","TEACHER","OhioStateU"
"11",11,"ACTBLUE","PART-TIME ADMINISTRATOR","KenyonC"
"12",12,"ACTBLUE","PROFESSOR","OhioStateU"
"13",13,"ACTBLUE","PROFESSOR","UToledo"
"14",14,"END CITIZENS UNITED","PROFESSOR","OberlinC"
"15",15,"ACTBLUE","COLLEGE ADMINISTRATOR","OberlinC"
"16",16,"ACTBLUE","MANGER PATIENT ACOUNTS","OhioStateU"
"17",17,"ACTBLUE","GRADUATE STUDENT","BowlingGreenU"
"18",18,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"19",19,"AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE (ASA PAC)","ANESTHESIOLOGIST","OhioStateU"
"20",20,"ACTBLUE","PROGRAMMER","OhioStateU"
"21",21,"ACTBLUE","PROGRAMMER","OhioStateU"
"22",22,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"23",23,"ACTBLUE","GRADUATE STUDENT","BowlingGreenU"
"24",24,"ACTBLUE","GRADUATE STUDENT","BowlingGreenU"
"25",25,"HOUSE MAJORITY PAC","EDITOR","OberlinC"
"26",26,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"27",27,"ACTBLUE","PROFESSOR","UToledo"
"28",28,"HOUSE MAJORITY PAC","PROFESSOR","OberlinC"
"29",29,"ACTBLUE","ASSOCIATE PROFESSOR","OhioStateU"
"30",30,"ACTBLUE","ASSOCIATE PROFESSOR","OhioStateU"
"31",31,"ACTBLUE","LIBRARIAN","OberlinC"
"32",32,"ACTBLUE","FISCAL ASSOC","OhioStateU"
"33",33,"ACTBLUE","ASSOCIATE PROFESSOR","OhioStateU"
"34",34,"ACTBLUE","ASSOCIATE PROFESSOR OF ENGINEERING","OhioStateU"
"35",35,"ACTBLUE","PROFESSOR","OhioStateU"
"36",36,"ACTBLUE","PROFESSOR","OhioStateU"
"37",37,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"38",38,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"39",39,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"40",40,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"41",41,"JANET GARRETT FOR CONGRESS COMMITTEE","ADMIN. ASSISTANT","OberlinC"
"42",42,"ACTBLUE","ENVIRONMENTAL COMPLIANCE","OhioStateU"
"43",43,"ACTBLUE","PROFESSOR","OhioStateU"
"44",44,"ACTBLUE","UNIVERSITY LECTURER","OhioStateU"
"45",45,"ACTBLUE","CATALOGER","OhioStateU"
"46",46,"ACTBLUE","STUDENT","OhioStateU"
"47",47,"BEATTY FOR CONGRESS","CHIEF DIVERSITY AND INCLUSION OFFICER","OhioStateU"
"48",48,"ACTBLUE","PROFESSOR","OhioStateU"
"49",49,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"50",50,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"51",51,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"52",52,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"53",53,"END CITIZENS UNITED","PROFESSOR","OberlinC"
"54",54,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"55",55,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"56",56,"ACTBLUE","PROFESSOR","OhioStateU"
"57",57,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"58",58,"ACTBLUE","PROFESSOR","UToledo"
"59",59,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"60",60,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"61",61,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"62",62,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"63",63,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"64",64,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"65",65,"ACTBLUE","PROFESSOR","OhioStateU"
"66",66,"ACTBLUE","STUDENT","OhioStateU"
"67",67,"ACTBLUE","TEACHER","OhioStateU"
"68",68,"ACTBLUE","TEACHER","OhioStateU"
"69",69,"BEATTY FOR CONGRESS","PROFESSOR","OhioStateU"
"70",70,"BEATTY FOR CONGRESS","PROFESSOR OF LINGUISTICS","OhioStateU"
"71",71,"BEATTY FOR CONGRESS","MEDICAL DIRECTOR","OhioStateU"
"72",72,"ACTBLUE","PROFESSOR","OhioStateU"
"73",73,"DNC SERVICES CORP./DEM. NAT'L COMMITTEE","PROFESSOR","UToledo"
"74",74,"ACTBLUE","TUTOR","OberlinC"
"75",75,"ACTBLUE","TUTOR","OberlinC"
"76",76,"ACTBLUE","GRAD STUDENT","OhioStateU"
"77",77,"ACTBLUE","GRANTS & CONTRACTS SPECIALIST","OhioStateU"
"78",78,"ACTBLUE","NEUROPSYCHOLOGIST","OhioStateU"
"79",79,"HOUSE MAJORITY PAC","EDITOR","OberlinC"
"80",80,"HOUSE MAJORITY PAC","PROFESSOR","OberlinC"
"81",81,"ACTBLUE","STUDENT","OberlinC"
"82",82,"HOUSE MAJORITY PAC","EDITOR","OberlinC"
"83",83,"HOUSE MAJORITY PAC","PROFESSOR","UToledo"
"84",84,"ACTBLUE","PROFESSOR","OhioStateU"
"85",85,"ACTBLUE","PROFESSOR","OWesleyanU"
"86",86,"ACTBLUE","PROFESSOR","OhioStateU"
"87",87,"ACTBLUE","PROFESSOR","OhioStateU"
"88",88,"ACTBLUE","PROFESSOR","OhioStateU"
"89",89,"ACTBLUE","PROFESSOR","OhioStateU"
"90",90,"ACTBLUE","PHYSICIAN","OhioStateU"
"91",91,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"92",92,"ACTBLUE","STUDENT","OhioStateU"
"93",93,"ACTBLUE","PHYSICIST","OhioStateU"
"94",94,"ACTBLUE","PHYSICIST","OhioStateU"
"95",95,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"96",96,"ACTBLUE","EDUCATION","OhioStateU"
"97",97,"ACTBLUE","COORDINATOR","OhioStateU"
"98",98,"ACTBLUE","IT ANALYST","UToledo"
"99",99,"ACTBLUE","PROGRAM COORDINATOR","OhioStateU"
"100",100,"ACTBLUE","PROGRAM COORDINATOR","OhioStateU"
"101",101,"ACTBLUE","GRADUATE ASSISTANT","UToledo"
"102",102,"ACTBLUE","GRADUATE ASSISTANT","UToledo"
"103",103,"ACTBLUE","PROFESSOR","OhioStateU"
"104",104,"ACTBLUE","TEACHER","OberlinC"
"105",105,"RICK NEAL FOR CONGRESS","PHYSICIST","OhioStateU"
"106",106,"ACTBLUE","PROFESSOR","OberlinC"
"107",107,"ACTBLUE","PROFESSOR","OhioStateU"
"108",108,"ACTBLUE","PSYCHIATRIST","OhioStateU"
"109",109,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"110",110,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"111",111,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"112",112,"ACTBLUE","DENTAL HYGIENIST","OhioStateU"
"113",113,"ACTBLUE","MANGER PATIENT ACOUNTS","OhioStateU"
"114",114,"ACTBLUE","EDUCATOR","OWesleyanU"
"115",115,"ACTBLUE","PROFESSOR","OhioStateU"
"116",116,"ACTBLUE","PROFESSOR","OhioStateU"
"117",117,"ACTBLUE","PROFESSOR","OhioStateU"
"118",118,"ACTBLUE","STUDENT","OberlinC"
"119",119,"ACTBLUE","IT","UToledo"
"120",120,"END CITIZENS UNITED","PROFESSOR","OberlinC"
"121",121,"ACTBLUE","PROFESSOR","OhioStateU"
"122",122,"ACTBLUE","AN IT MANAGER","OberlinC"
"123",123,"ACTBLUE","COMPUTER NETWORK ADMINISTRATOR","OberlinC"
"124",124,"END CITIZENS UNITED","PROGRAM ASSISTANT","OhioStateU"
"125",125,"ACTBLUE","REGISTERED NURSE","OhioStateU"
"126",126,"ACTBLUE","ART HISTORIAN/PROFESSOR","OhioStateU"
"127",127,"ACTBLUE","ART HISTORIAN/PROFESSOR","OhioStateU"
"128",128,"ACTBLUE","COMPUTER NETWORK ADMINISTRATOR","OberlinC"
"129",129,"ACTBLUE","COLLEGE ADMINISTRATOR","OberlinC"
"130",130,"ACTBLUE","PROFESSOR","OhioStateU"
"131",131,"ACTBLUE","CUSTODIAN","OberlinC"
"132",132,"ACTBLUE","PHD CANDIDATE","OhioStateU"
"133",133,"ACTBLUE","FINANCE","OhioStateU"
"134",134,"ACTBLUE","UNDERGRADUATE RESEARCHER","OhioStateU"
"135",135,"ACTBLUE","COLLEGE ADMINISTRATOR","OberlinC"
"136",136,"ACTBLUE","PROFESSOR","OhioStateU"
"137",137,"ACTBLUE","PROFESSOR","KenyonC"
"138",138,"ACTBLUE","PROFESSOR","KenyonC"
"139",139,"ACTBLUE","PROFESSOR","KenyonC"
"140",140,"ACTBLUE","PROFESSOR","OhioStateU"
"141",141,"ACTBLUE","PROFESSOR","OhioStateU"
"142",142,"ACTBLUE","UNIVERSITY EMPLOYEE","OhioStateU"
"143",143,"ACTBLUE","PROFESSOR","UToledo"
"144",144,"ACTBLUE","TEACHER","BowlingGreenU"
"145",145,"ACTBLUE","REGISTERED NURSE","OhioStateU"
"146",146,"ACTBLUE","PROFESSOR","KenyonC"
"147",147,"ACTBLUE","CANCER GENETICS RESEARCH","OhioStateU"
"148",148,"ACTBLUE","CANCER GENETICS RESEARCH","OhioStateU"
"149",149,"ACTBLUE","CANCER GENETICS RESEARCH","OhioStateU"
"150",150,"ACTBLUE","CANCER GENETICS RESEARCH","OhioStateU"
"151",151,"ACTBLUE","CANCER GENETICS RESEARCH","OhioStateU"
"152",152,"ACTBLUE","PROFESSOR","OberlinC"
"153",153,"ACTBLUE","MENTAL HEALTH CLINICAL NURSE SPECIALIS","OhioStateU"
"154",154,"ACTBLUE","PROFESSOR","OberlinC"
"155",155,"ACTBLUE","DIRECTOR, CORP. & FDN. RELATIONS","KenyonC"
"156",156,"ACTBLUE","PROFESSOR","OhioStateU"
"157",157,"ACTBLUE","PROFESSOR","OhioStateU"
"158",158,"ACTBLUE","PROFESSOR","OberlinC"
"159",159,"ACTBLUE","TEACHER","BowlingGreenU"
"160",160,"ACTBLUE","RESEARCH ADMINISTRATOR","OhioStateU"
"161",161,"ACTBLUE","PHYSICIAN",NA
"162",162,"ACTBLUE","PHYSICIAN",NA
"163",163,"ACTBLUE","ASSISTANT DEAN","OhioStateU"
"164",164,"ACTBLUE","FACULTY","OberlinC"
"165",165,"ACTBLUE","FACULTY","OberlinC"
"166",166,"ACTBLUE","FACULTY","OberlinC"
"167",167,"ACTBLUE","STUDENT","OhioStateU"
"168",168,"ACTBLUE","PROFESSOR","OhioStateU"
"169",169,"ACTBLUE","PROFESSOR","OberlinC"
"170",170,"ACTBLUE","REGISTRAR","OberlinC"
"171",171,"ACTBLUE","PROFESSOR","OberlinC"
"172",172,"ACTBLUE","ASST. DIRECTOR","OhioStateU"
"173",173,"ACTBLUE","PROFESSOR","OhioStateU"
"174",174,"ACTBLUE","DIRECTOR, CORP. & FDN. RELATIONS","KenyonC"
"175",175,"ACTBLUE","DIRECTOR, CORP. & FDN. RELATIONS","KenyonC"
"176",176,"ACTBLUE","PHYSICIAN","OhioStateU"
"177",177,"ACTBLUE","STUDENT","OhioStateU"
"178",178,"ACTBLUE","RESEARCH SCIENTIST","OhioStateU"
"179",179,"ACTBLUE","PHYSICIAN","OhioStateU"
"180",180,"ACTBLUE","EDUCATION","OhioStateU"
"181",181,"ACTBLUE","GRADUATE STUDENT","OhioStateU"
"182",182,"ACTBLUE","PROFESSOR","OhioStateU"
"183",183,"ACTBLUE","LIBRARIAN","OhioStateU"
"184",184,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"185",185,"ACTBLUE","CHEF","OhioStateU"
"186",186,"ACTBLUE","RESEARCH ASSOCIATE CIATE","OhioStateU"
"187",187,"ACTBLUE","RESEARCH ASSOCIATE CIATE","OhioStateU"
"188",188,"ACTBLUE","OMBUDSPERSON","OberlinC"
"189",189,"ACTBLUE","PHYSICIAN","UToledo"
"190",190,"RICK NEAL FOR CONGRESS","PHYSICIST","OhioStateU"
"191",191,"SWING LEFT","ASSISTANT PROFESSOR","OhioStateU"
"192",192,"SWING LEFT","ASSISTANT PROFESSOR","OhioStateU"
"193",193,"SWING LEFT","ASSISTANT PROFESSOR","OhioStateU"
"194",194,"ACTBLUE","PHYSICIAN","OhioStateU"
"195",195,"ACTBLUE","PROGRAM COORDINATOR","OhioStateU"
"196",196,"ACTBLUE","PROFESSOR","OhioStateU"
"197",197,"ACTBLUE","UNIVERSITY PROFESSOR","OhioStateU"
"198",198,"ACTBLUE","UNIVERSITY PROFESSOR","OhioStateU"
"199",199,"ACTBLUE","PHYSICIAN","OhioStateU"
"200",200,"ACTBLUE","UNIVERSITY CHAPLAIN","OWesleyanU"
"201",201,"ACTBLUE","PHYSICIAN","OhioStateU"
"202",202,"SWING LEFT","EDUCATION","OberlinC"
"203",203,"ACTBLUE","LECTURER","OhioStateU"
"204",204,"ACTBLUE","GRADUATE RESEARCH ASSISTANT","OhioStateU"
