"","geo_id","total_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","employed_pop","unemployed_pop","associates_degree","bachelors_degree","high_school_diploma","masters_degree","median_income","income_less_10000","income_10000_14999","income_15000_19999","income_20000_24999","income_25000_29999","income_30000_34999","income_35000_39999","income_40000_44999","income_45000_49999","income_50000_59999","income_60000_74999","income_75000_99999","income_100000_124999","income_125000_149999","income_150000_199999","income_200000_or_more"
"1","28",2988726,1698241,1131449,26685,86733,12939,2529,1227812,102894,177695,264865,477515,113113,41754,113124,87136,71206,70160,59619,62688,55973,57215,41870,86198,98865,117664,68367,37809,34786,28565
"2","56",585501,494078,5400,5815,56264,12328,211,287583,17000,45601,67845,93204,26068,59882,11596,10085,10995,11036,11685,8831,11241,11922,8902,15675,25437,30199,23243,12901,11364,8507
"3","38",757953,644710,18815,9111,26434,40676,127,407369,11782,67554,107578,115825,28550,60656,19233,13042,14280,14087,14895,13485,12481,13526,13927,26821,34340,42836,33549,18175,15300,15157
"4","02",741894,452757,21768,44235,51304,104362,1741,357098,30964,40819,90861,107185,36182,76440,9066,7301,7545,8611,8600,8473,8481,8641,8927,20236,26130,35805,30674,19356,22973,17649
"5","50",624594,580616,7307,9406,12546,2113,727,324824,13267,40499,92871,112116,46671,57677,14019,15503,11702,12704,12410,13077,11202,10816,9377,21228,26117,34858,22953,13880,12789,12216
"6","54",1831102,1684936,68738,13777,26783,3734,3361,740513,60791,95794,162243,422721,78802,43385,70246,47390,46462,46676,43192,42351,37673,36081,29773,58656,68675,80031,48713,26506,21472,18228
"7","30",1042520,900884,3439,8326,37090,62998,574,503850,25373,66134,148944,172231,48718,50027,26734,24786,22330,22193,22568,24449,22135,22241,20513,33707,43775,50902,29940,18585,15669,15598
"8","35",2081015,787250,37782,30149,1009876,178176,4299,880676,71339,116674,215691,310743,116006,46748,66983,48930,50025,48054,40353,38164,35107,37564,34581,59437,73011,87486,55708,29307,26732,26922
"9","16",1683140,1385885,10184,22993,207248,21522,702,762788,37503,104375,203363,243314,65673,51807,44642,30409,30516,31791,28162,34272,33305,29576,31127,53795,71316,73915,47953,26672,24339,19082
"10","46",865454,713315,14332,12901,32227,73570,280,437627,17838,65093,111002,139760,35829,54467,22031,15340,15469,15887,15941,19304,15835,17382,15574,29500,37475,48097,26814,14116,12875,12363
"11","15",1428557,315242,24389,527847,148150,1718,1852,686487,31796,104261,211850,255380,67803,74511,25137,16648,11893,16616,13662,16707,16293,16772,14658,31912,48932,62561,50444,34713,37177,41743
"12","23",1331479,1243607,17963,17499,20714,7130,900,658476,30560,94984,181434,272769,79538,53079,32918,29965,29553,28398,28149,28435,24679,23358,23218,43005,59421,67780,45198,25675,22109,19799
"13","72",3411307,36168,2517,2067,3365841,225,2251,1052154,202760,237746,433120,591067,112925,20078,342334,140713,119556,99169,80696,68840,60951,45868,38249,57530,58494,45000,21829,9981,11004,8224
"14","24",6016447,3092525,1765641,374779,586730,12217,15752,3073923,175235,268485,860491,914616,528502,78945,114351,63035,69100,73594,72097,74650,73947,77376,71426,152637,207214,296394,237121,171453,208856,231406
"15","33",1334795,1211076,15837,32455,47271,1336,1645,719923,26942,97488,213461,217686,101003,70936,20890,15933,18190,18067,21680,22695,21064,17717,21086,39534,57994,75337,56445,33685,41092,39234
"16","44",1056426,768815,58523,36176,157352,2913,6210,521879,33014,60183,151195,167783,70435,60596,29613,24059,16734,19759,19046,17225,17184,18697,14313,25511,41106,50094,41210,25642,25913,22133
"17","29",6093000,4852074,698734,116024,243567,27492,10479,2892864,149445,325244,729511,1083372,324191,51746,160615,122649,123789,128270,123224,133429,123373,117476,107254,200473,248099,296437,188700,102034,102670,93698
"18","31",1907116,1519945,87110,41133,202449,13963,1719,987794,37751,129795,261931,286360,90070,56927,45794,33266,31084,37602,38037,40412,36761,35558,33429,57950,83173,99028,69003,37347,37665,31453
"19","10",952065,597331,203278,35591,87152,3281,1419,444321,26678,52228,121717,188694,58672,61757,20673,12893,12843,16476,14993,18790,16634,14516,15046,26974,37988,48649,32836,22554,19635,19585
"20","11",681170,247185,315848,25952,74422,1529,1929,364797,27119,14086,115097,73974,98988,75506,30145,14621,9700,9692,8825,9203,6917,7421,7168,14804,21465,28086,25982,18094,26539,42579
"21","27",5519952,4444184,325256,257673,288460,57795,7324,2921646,116518,429762,860125,821200,304937,65599,99348,88525,85744,95223,84498,93089,93567,91328,86602,166874,225942,298663,217427,137087,146364,138444
"22","19",3134693,2708501,108502,74554,179062,8662,2784,1613618,66229,234055,398242,569965,135083,56247,72996,54335,58382,64916,63190,63714,57855,62133,55490,106820,135524,173355,109741,63823,56555,49103
"23","53",7288000,5053546,254841,591025,906451,79382,10670,3496141,200134,491450,1098509,917047,472318,67106,147496,104035,100694,109037,103271,117364,115214,117894,109873,212614,284971,377218,282053,176974,197643,211725
"24","05",2988248,2175226,462232,41387,214544,16096,2917,1282676,69030,133315,282608,552084,118134,44334,101085,75579,71364,73293,67142,68962,59857,60179,53457,98492,110734,118374,75019,40069,35574,33538
"25","17",12801539,7886677,1790654,679106,2178790,15415,18718,6231419,419099,682989,1813840,1942508,830129,60960,337376,207545,218520,230530,204542,221396,205960,207969,179736,357549,466236,616501,453179,273401,312819,328787
"26","01",4863300,3197147,1294572,65100,199686,21225,7537,2078325,140963,271030,506680,831521,226164,46257,176641,120590,117332,108912,102080,103366,91011,86996,74864,149568,172123,210500,131506,72234,73159,61636
"27","04",6931071,3834724,284478,214132,2144775,274472,10072,3031781,210851,390843,835779,924912,359075,53558,184109,123141,116678,130098,130486,123857,124089,128122,106138,218352,253777,315958,199132,118826,124871,121418
"28","25",6811779,4928862,456681,438614,779696,8154,59495,3571010,198840,363356,1124295,1023967,629351,75297,150324,111493,99450,96097,86177,97932,94390,89361,79520,158994,221610,321572,263456,193846,235468,279708
"29","48",27862596,11843864,3270776,1281698,10883279,67038,38404,12927456,760247,1259574,3362678,3701336,1281070,56565,620911,441878,442937,493657,468636,482096,431145,445472,386993,765605,952667,1135586,826591,497891,536320,607227
"30","06",39250017,14725729,2160958,5518226,15280776,132153,105389,18343258,1277331,2031775,5426164,4784486,2203376,67739,699927,584989,526006,581059,495728,539507,498105,515009,457955,890403,1219707,1574447,1228401,805397,1019268,1308270
"31","37",10146788,6438334,2144650,273281,931110,108345,19620,4646249,309063,654866,1345615,1472415,543876,50584,282491,228088,209825,212659,206371,215759,190497,199257,170320,318567,395160,468022,288626,160589,166800,169392
"32","34",8944469,4966755,1130491,849117,1786669,8810,40991,4410393,282998,400332,1460518,1541029,670786,76126,170029,118862,123335,121889,120881,113762,112003,110312,100527,207103,277719,390127,328144,220764,295764,383298
"33","55",5778709,4718160,355473,154748,387015,48653,3230,2962695,125970,420412,758503,1083082,288536,56811,126514,110661,111164,117376,109293,121366,110720,110657,100956,198037,250919,322089,211568,122298,107245,96135
"34","18",6633053,5273458,608667,140694,448079,13870,10478,3165016,167215,374136,716293,1250854,301847,52314,169319,120810,128712,140106,132682,135528,133535,129908,110596,216221,284279,323239,204822,110106,105506,87901
"35","32",2940058,1463596,249544,240323,836626,26593,6566,1375164,98389,156342,308547,498977,114345,55180,68507,42720,53143,53188,56693,57215,50798,53783,44637,87876,116975,135242,88474,54275,45943,45689
"36","40",3923561,2595562,281976,78185,403936,283500,4059,1742747,110892,203590,432922,674289,157183,49176,115205,83089,85175,82570,81110,83843,76299,72709,62985,118920,154008,173482,110972,60746,56790,51439
"37","49",3051217,2401230,30915,69181,420440,26769,3070,1453401,61917,178193,381130,354303,140249,65977,40059,30734,31314,36827,35216,41991,39723,45254,37757,82108,117782,140905,99298,58652,56377,49150
"38","08",5540545,3796733,220728,173588,1181218,28993,6313,2827340,140434,322529,934273,673089,409712,65685,108697,80074,81207,90408,84492,88961,89926,90355,81731,167806,224015,287881,205649,126674,148964,152152
"39","47",6651194,4929450,1105799,115106,347442,15049,8919,3024597,176743,328595,756055,1199477,303704,48547,201420,136845,145997,157846,141700,143315,131448,134289,114431,213885,256308,298237,177687,102092,102869,97963
"40","51",8411808,5235564,1575478,527900,760611,19718,23107,4115486,218154,438669,1241751,1147310,695229,68114,174991,120904,119111,123015,115461,135007,123158,127506,117366,228933,301481,400490,299429,205546,237472,290822
"41","20",2907289,2216482,161027,79100,336909,18397,3221,1426134,67003,157030,390861,419534,170982,54935,68603,51932,49696,59233,57524,59547,55667,57728,48542,91758,120538,139810,96217,54318,50333,48961
"42","42",12784227,9832127,1351705,420202,900002,13312,19352,6097349,373872,730217,1676971,2787677,765331,56907,317031,232847,246866,253987,235516,240897,223903,224617,198180,396893,508245,619424,430798,271382,271744,265441
"43","39",11614373,9216496,1421393,237401,420081,15138,19951,5543802,332095,682507,1362205,2333030,598321,52334,348316,239177,242415,247564,226903,241658,220109,230593,196062,389125,485024,569956,371140,222552,202421,191654
"44","21",4436974,3765752,360428,60837,151920,10692,7172,1954642,124677,256369,419081,769421,202997,46659,164883,107718,105699,96037,93583,94616,86913,83909,71296,134990,173468,196195,120968,69774,59053,58604
"45","09",3576452,2411769,352345,159838,562347,4968,11451,1811769,123884,186288,541369,597334,297488,73433,70599,49894,49971,52631,49020,54231,53814,49576,45788,90352,123237,173563,133351,99783,111347,150112
"46","41",4093465,3119464,75516,167053,522568,36097,5961,1940682,117641,244515,572508,526763,247973,57532,92835,70974,71622,82751,80628,77257,69794,69584,69560,126752,167833,200748,141726,81530,85302,82782
"47","13",10310371,5484889,3205543,396429,962334,17417,32116,4735947,300529,518208,1270275,1550795,560593,53559,277504,186590,181811,199645,176851,189701,169644,176921,154377,296332,380388,448149,298285,171992,182522,195423
