"","X1","committee_name","contributor_occupation","college"
"1",1,"ACTBLUE","WRITING TUTOR","TTechU"
"2",2,"ACTBLUE","WRITING TUTOR","TTechU"
"3",3,"ACTBLUE","PROFESSOR","BaylorU"
"4",4,"ACTBLUE","PROFESSOR","SMethodistU"
"5",5,"ACTBLUE","WRITING TUTOR","TTechU"
"6",6,"ACTBLUE","WRITING TUTOR","TTechU"
"7",7,"ACTBLUE","WRITING TUTOR","TTechU"
"8",8,"ACTBLUE","WRITING TUTOR","TTechU"
"9",9,"ACTBLUE","WRITING TUTOR","TTechU"
"10",10,"ACTBLUE","WRITING TUTOR","TTechU"
"11",11,"ACTBLUE","STUDENT","SMethodistU"
"12",12,"ACTBLUE","WRITING TUTOR","TTechU"
"13",13,"ACTBLUE","WRITING TUTOR","TTechU"
"14",14,"ACTBLUE","STAFF MEMBER","BaylorU"
"15",15,"EMILY'S LIST","PROFESSOR","TTechU"
"16",16,"ACTBLUE","PROFESSOR","BaylorU"
"17",17,"ACTBLUE","WRITING TUTOR","TTechU"
"18",18,"ACTBLUE","WRITING TUTOR","TTechU"
"19",19,"ACTBLUE","WRITING TUTOR","TTechU"
"20",20,"ACTBLUE","COLLEGE PROFESSOR","BaylorU"
"21",21,"ACTBLUE","PROFESSOR","BaylorU"
"22",22,"ACTBLUE","TEACHER","BaylorU"
"23",23,"ACTBLUE","PROFESSOR","SMethodistU"
"24",24,"ACTBLUE","PROFESSOR","BaylorU"
"25",25,"ACTBLUE","LAW PROFESSOR","SMethodistU"
"26",26,"ACTBLUE","LAW PROFESSOR","SMethodistU"
"27",27,"ACTBLUE","FULL-TIME STUDENT","BaylorU"
"28",28,"ACTBLUE","THEATRE PROFESSIR","BaylorU"
"29",29,"ACTBLUE","STUDENT","LamarU"
"30",30,"ACTBLUE","TEACHER","BaylorU"
"31",31,"ACTBLUE","ASSIST PROF","LamarU"
"32",32,"ACTBLUE","STUDENT","TTechU"
"33",33,"ACTBLUE","TEACHER","SMethodistU"
"34",34,"ACTBLUE","LAW PROFESSOR","SMethodistU"
"35",35,"ACTBLUE","RN","BaylorU"
"36",36,"ACTBLUE","TECHNICIAN","TTechU"
"37",37,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"38",38,"ACTBLUE","STUDENT ASSISTANT","LamarU"
"39",39,"ACTBLUE","ADMINISTRATOR","LamarU"
"40",40,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"41",41,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"42",42,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"43",43,"ACTBLUE","PROFESSOR","BaylorU"
"44",44,"ACTBLUE","DONOR RELATIONS OFFICER","TrinityU"
"45",45,"ACTBLUE","PROFESSOR","TrinityU"
"46",46,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"47",47,"FRIENDS OF ANDREW YANG","TEACHER","SMethodistU"
"48",48,"ACTBLUE","FACULTY","TrinityU"
"49",49,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"50",50,"ACTBLUE","PROFESSOR","SMethodistU"
"51",51,"ACTBLUE","PROFESSOR","LamarU"
"52",52,"ACTBLUE","PROFESSOR","SMethodistU"
"53",53,"ACTBLUE","PROFESSOR","SMethodistU"
"54",54,"ACTBLUE","PROFESSOR","SMethodistU"
"55",55,"ACTBLUE","PROFESSOR","SMethodistU"
"56",56,"ACTBLUE","PROFESSOR","SMethodistU"
"57",57,"SWING LEFT","LEGAL ASSISTANT","SMethodistU"
"58",58,"ACTBLUE","PROFESSOR OF WELLNESS","SMethodistU"
"59",59,"SWING LEFT","PROFESSOR","SMethodistU"
"60",60,"ACTBLUE","PROFESSOR","TrinityU"
"61",61,"ACTBLUE","ASSISTANT PROFESSOR","TTechU"
"62",62,"ACTBLUE","INTERN","BaylorU"
"63",63,"ACTBLUE","PROFESSOR","UTElPaso"
"64",64,"ACTBLUE","STUDENT","TTechU"
"65",65,"ACTBLUE","INSTRUCTOR","LamarU"
"66",66,"ACTBLUE","ACADEMIC ADVISOR","TTechU"
"67",67,"ACTBLUE","COLLEGE ADMINISTRATION","SMethodistU"
"68",68,"ACTBLUE","PROFESSOR","TTechU"
"69",69,"ACTBLUE","LECTURER","UTElPaso"
"70",70,"ACTBLUE","UNIVERSITY PROFESSOR","TrinityU"
"71",71,"ACTBLUE","UNIVERSITY PROFESSOR","TrinityU"
"72",72,"ACTBLUE","ASSISTANT PROFESSOR","TTechU"
"73",73,"END CITIZENS UNITED","PROFESSOR","SMethodistU"
"74",74,"ACTBLUE","UNIVERSITY PROFESSOR","TTechU"
"75",75,"ACTBLUE","TREASURER","TTechU"
"76",76,"END CITIZENS UNITED","PROFESSOR OF CHEMISTRY","BaylorU"
"77",77,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"78",78,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"79",79,"END CITIZENS UNITED","PROFESSOR","SMethodistU"
"80",80,"ACTBLUE","LIBRARIAN","UTElPaso"
"81",81,"DNC SERVICES CORP./DEM. NAT'L COMMITTEE","PROFESSOR","LamarU"
"82",82,"ACTBLUE","GRADUATE STUDENT","TTechU"
"83",83,"ACTBLUE","PROFESSOR OF WELLNESS","SMethodistU"
"84",84,"ACTBLUE","ASSISTANT PROFESSOR","TrinityU"
"85",85,"ACTBLUE","LIBRARIAN","UTElPaso"
"86",86,"ACTBLUE","STUDENT","LamarU"
"87",87,"ACTBLUE","PROFESSOR","TrinityU"
"88",88,"ACTBLUE","PROFESSOR","TrinityU"
"89",89,"ACTBLUE","PROFESSOR","UTElPaso"
"90",90,"ACTBLUE","GRADUATE STUDENT","TTechU"
"91",91,"ACTBLUE","ACCOUNTS PAYABLE MANAGER","TrinityU"
"92",92,"ACTBLUE","PROFESSOR","SMethodistU"
"93",93,"ACTBLUE","STUDENT","BaylorU"
"94",94,"ACTBLUE","PROFESSOR","TrinityU"
"95",95,"ACTBLUE","PROFESSOR","SMethodistU"
"96",96,"ACTBLUE","PROFESSOR","SMethodistU"
"97",97,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"98",98,"ACTBLUE","ASSISTANT PROFESSOR","TrinityU"
"99",99,"ACTBLUE","MANAGER","TTechU"
"100",100,"ACTBLUE","EDUCATION","BaylorU"
"101",101,"ACTBLUE","GRAD STUDENT","TTechU"
"102",102,"ACTBLUE","GRAD STUDENT","TTechU"
"103",103,"ACTBLUE","PROGRAM DIRECTOR","BaylorU"
"104",104,"ACTBLUE","TEACHER","TrinityU"
"105",105,"ACTBLUE","PROFESSOR","LamarU"
"106",106,"ACTBLUE","LIBRARIAN","SMethodistU"
"107",107,"ACTBLUE","DONOR RELATIONS OFFICER","TrinityU"
"108",108,"ACTBLUE","STUDENT","TTechU"
"109",109,"ACTBLUE","ACCOUNTANT","UTElPaso"
"110",110,"ACTBLUE","PROFESSOR","SMethodistU"
"111",111,"ACTBLUE","HEALTH EDUCATOR","BaylorU"
"112",112,"ACTBLUE","PROFESSOR","SMethodistU"
"113",113,"ACTBLUE","LIBRARIAN","BaylorU"
"114",114,"ACTBLUE","LIBRARIAN","BaylorU"
"115",115,"ACTBLUE","ASSOCIATE HEAD WOMEN'S BASKETBALL COAC","LamarU"
"116",116,"ACTBLUE","ASSISTANT PROFESSOR","TTechU"
"117",117,"ACTBLUE","ASSISTANT PROFESSOR","TTechU"
"118",118,"ACTBLUE","RN","BaylorU"
"119",119,"ACTBLUE","PROFESSOR","SMethodistU"
"120",120,"ACTBLUE","PROFESSOR","TTechU"
"121",121,"ACTBLUE","PROFESSOR","TTechU"
"122",122,"ACTBLUE","UNIVERSITY PROFESSOR","TTechU"
"123",123,"ACTBLUE","RECRUITER","TTechU"
"124",124,"ACTBLUE","MANAGER","TTechU"
"125",125,"ACTBLUE","LIBRARIAN","BaylorU"
"126",126,"ACTBLUE","ASSISTANT PROFESSOR","TTechU"
"127",127,"ACTBLUE","PROFESSOR","TWomansU"
"128",128,"ACTBLUE","UNIVERSITY PROFESSOR","TrinityU"
"129",129,"ACTBLUE","STUDENT","TTechU"
"130",130,"ACTBLUE","COLLEGE PROFESSOR","TWomansU"
"131",131,"ACTBLUE","PROFESSOR","TWomansU"
"132",132,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"133",133,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"134",134,"ACTBLUE","ASSISTANT PROFESSOR","TrinityU"
"135",135,"ACTBLUE","STUDENT","TTechU"
"136",136,"ACTBLUE","STUDENT","SMethodistU"
"137",137,"ACTBLUE","ARCHITECT","TTechU"
"138",138,"ACTBLUE","PROFESSOR","SMethodistU"
"139",139,"ACTBLUE","CAREER DEVELOPMENT MANAGER","UTElPaso"
"140",140,"ACTBLUE","UNIT MANAGER","TTechU"
"141",141,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"142",142,"ACTBLUE","VISITING INSTRUCTOR","TTechU"
"143",143,"ACTBLUE","NON-PROFIT","BaylorU"
"144",144,"ACTBLUE","ADMISSIONS ADVISOR","TTechU"
"145",145,"ACTBLUE","PROFESSOR","BaylorU"
"146",146,"ACTBLUE","PROFESSOR","TTechU"
"147",147,"ACTBLUE","PROFESSOR","TrinityU"
"148",148,"ACTBLUE","PROFESSOR","SMethodistU"
"149",149,"ROSEN FOR NEVADA","PROFESSOR","TTechU"
"150",150,"ACTBLUE","STUDENT","TrinityU"
"151",151,"ACTBLUE","PROFESSOR","BaylorU"
"152",152,"ACTBLUE","PROFESSOR","TrinityU"
"153",153,"ACTBLUE","PROFESSOR","SMethodistU"
"154",154,"ACTBLUE","PROFESSOR","SMethodistU"
"155",155,"ACTBLUE","PROFESSOR","SMethodistU"
"156",156,"ACTBLUE","PROFESSOR","SMethodistU"
"157",157,"ACTBLUE","PROFESSOR","SMethodistU"
"158",158,"ACTBLUE","CUSTODIAN","LamarU"
"159",159,"ACTBLUE","SENIOR TRANSFER ADVISOR","TTechU"
"160",160,"ACTBLUE","PROFESSOR","TTechU"
"161",161,"ACTBLUE","PROFESSOR","TTechU"
"162",162,"ACTBLUE","PROFESSOR","TTechU"
"163",163,"ACTBLUE","STUDENT","UTElPaso"
"164",164,"ACTBLUE","TEACHER","LamarU"
"165",165,"ACTBLUE","TREASURER","TTechU"
"166",166,"THE AMERICAN OCCUPATIONAL THERAPY ASSOCIATION, INC. POLITICAL ACTION COMMITTEE (AOTPAC)","OCCUPATIONAL THERAPIST","TrinityU"
"167",167,"ACTBLUE","PSYCHOLOGIST","TrinityU"
"168",168,"ACTBLUE","MATHEMATICIAN","TTechU"
"169",169,"ACTBLUE","EMERITUS PROFESSOR","SMethodistU"
"170",170,"ACTBLUE","PROFESSOR","TTechU"
"171",171,"ACTBLUE","PROFESSOR","SMethodistU"
"172",172,"ACTBLUE","ASSOCIATE DIRECTOR OF SCHOLARSHIPS","BaylorU"
"173",173,"ACTBLUE","ASSOCIATE DIRECTOR OF SCHOLARSHIPS","BaylorU"
"174",174,"ACTBLUE","PROFESSOR","TTechU"
"175",175,"ACTBLUE","PROFESSOR","BaylorU"
"176",176,"ACTBLUE","ADJUNCT","BaylorU"
"177",177,"ACTBLUE","PROFESSOR","LamarU"
"178",178,"ACTBLUE","PROFESSOR","TTechU"
"179",179,"ACTBLUE","WRITING TUTOR","TTechU"
"180",180,"ACTBLUE","STUDENT AFFAIRS","BaylorU"
"181",181,"ACTBLUE","PROFESSOR","LamarU"
